Started At,Duration,Preset,Activity
6/27/2018 13:19,0:20:00,,Meditation
6/26/2018 23:40,0:09:43,,Guided Meditation
6/26/2018 21:15,0:18:52,,Guided Meditation
6/25/2018 21:07,0:15:00,,Meditation
6/24/2018 21:06,0:45:00,,Meditation
6/23/2018 21:50,0:10:00,,Meditation
6/22/2018 21:27,0:10:00,,Meditation
6/21/2018 21:34,0:05:00,,Meditation
6/20/2018 14:21,0:25:00,,Meditation
6/19/2018 21:10,0:19:35,,Guided Meditation
6/18/2018 21:23,0:06:12,,Meditation
6/17/2018 21:14,0:07:22,,Meditation
6/16/2018 22:01,0:05:00,,Meditation
6/15/2018 10:43,0:20:00,,Meditation
6/14/2018 10:51,0:20:00,,Meditation
6/13/2018 10:41,0:25:00,,Meditation
6/12/2018 14:18,0:20:00,twenty,Meditation
6/11/2018 21:47,0:05:00,,Meditation
6/10/2018 21:53,1:15:00,,Meditation
6/9/2018 13:01,0:22:09,twenty,Meditation
6/8/2018 22:02,0:05:00,,Meditation
6/7/2018 22:05,0:10:00,,Meditation
6/6/2018 20:39,0:24:46,,Guided Meditation
6/5/2018 20:47,0:18:53,,Guided Meditation
6/5/2018 20:32,0:15:00,,Meditation
6/4/2018 21:17,0:10:00,,Meditation
6/3/2018 21:17,1:00:00,,Meditation
6/2/2018 22:43,0:01:00,,Meditation
6/1/2018 18:33,0:15:00,,Meditation
5/31/2018 16:04,0:31:18,,Guided Meditation
5/31/2018 10:24,0:10:46,,Guided Meditation
5/30/2018 21:16,0:31:18,,Guided Meditation
5/29/2018 21:46,0:09:50,,Meditation
5/28/2018 22:14,0:05:00,,Meditation
5/27/2018 22:20,0:45:00,,Meditation
5/24/2018 15:12,0:08:08,,Meditation
5/22/2018 14:03,0:25:00,,Meditation
5/21/2018 22:41,0:08:15,,Guided Meditation
5/20/2018 5:09,0:12:59,,Guided Meditation
5/19/2018 5:06,2:00:00,,Meditation
5/18/2018 19:19,0:35:00,,Meditation
5/17/2018 11:29,0:28:57,,Guided Meditation
5/16/2018 23:08,0:07:00,,Meditation
5/15/2018 15:11,0:23:50,,Guided Meditation
5/14/2018 21:23,0:23:50,,Guided Meditation
5/13/2018 19:41,1:20:00,,Meditation
5/12/2018 7:41,1:00:00,,Meditation
5/11/2018 22:21,0:05:00,,Healing
5/10/2018 14:38,0:10:00,,Healing
5/9/2018 19:54,0:10:00,,Meditation
5/9/2018 15:40,0:10:00,,Healing
5/8/2018 15:00,0:25:00,,Healing
5/8/2018 8:59,0:10:00,,Healing
5/7/2018 9:29,0:24:28,,Meditation
5/6/2018 21:13,0:18:53,,Guided Meditation
5/5/2018 17:38,0:10:00,,Healing
5/5/2018 12:17,0:25:00,,Meditation
5/4/2018 21:16,0:20:00,,Meditation
5/3/2018 11:37,0:45:00,,Meditation
5/2/2018 15:45,0:25:00,,Meditation
5/1/2018 7:23,0:25:00,,Meditation
4/30/2018 11:04,0:10:00,,Healing
4/30/2018 7:03,0:30:00,,Meditation
4/29/2018 18:42,0:10:00,,Meditation
4/28/2018 14:55,0:15:00,,Meditation
4/28/2018 14:23,0:10:00,,Meditation
4/28/2018 3:46,1:00:00,,Guided Meditation
4/27/2018 13:41,0:10:00,,Meditation
4/27/2018 7:49,0:25:00,,Meditation
4/26/2018 9:39,0:25:00,,Meditation
4/25/2018 11:00,0:19:56,,Meditation
4/24/2018 8:31,0:25:00,,Meditation
4/23/2018 15:41,0:20:00,,Meditation
4/22/2018 16:02,1:00:00,,Meditation
4/21/2018 21:18,0:12:00,Brief Metta,Meditation
4/20/2018 21:23,0:08:13,,Meditation
4/20/2018 21:09,0:10:36,,Guided Meditation
4/20/2018 0:00,0:22:21,,Guided Meditation
4/19/2018 21:34,0:14:23,,Guided Meditation
4/18/2018 15:48,0:20:00,,Meditation
4/18/2018 0:46,0:10:18,,Guided Meditation
4/17/2018 21:40,0:15:13,,Guided Meditation
4/17/2018 5:24,0:30:15,,Guided Meditation
4/16/2018 23:42,0:30:15,,Guided Meditation
4/16/2018 21:10,0:20:00,,Meditation
4/15/2018 20:56,1:00:00,,Meditation
4/15/2018 15:40,0:05:28,,Meditation
4/14/2018 21:47,0:19:35,,Guided Meditation
4/13/2018 21:16,0:19:35,,Guided Meditation
4/12/2018 21:20,0:13:54,,Guided Meditation
4/11/2018 23:09,0:15:07,,Guided Meditation
4/11/2018 11:05,0:13:11,,Meditation
4/10/2018 11:15,0:10:00,,Meditation
4/9/2018 22:59,0:30:15,,Guided Meditation
4/9/2018 21:46,0:15:00,,Meditation
4/8/2018 19:15,0:40:00,,Meditation
4/7/2018 22:21,0:15:07,,Guided Meditation
4/7/2018 17:12,0:15:29,,Guided Meditation
4/7/2018 3:57,0:17:50,,Guided Meditation
4/6/2018 23:40,0:30:15,,Guided Meditation
4/6/2018 21:19,0:21:55,,Guided Meditation
4/5/2018 21:59,0:05:00,,Meditation
4/4/2018 11:07,0:15:00,,Meditation
4/3/2018 20:53,0:15:00,,Meditation
4/2/2018 1:25,0:30:15,,Guided Meditation
4/1/2018 21:11,0:20:00,,Meditation
3/31/2018 21:10,0:20:00,,Meditation
3/30/2018 9:55,0:25:00,,Meditation
3/29/2018 10:20,0:45:00,,Meditation
3/28/2018 15:29,0:16:01,,Meditation
3/27/2018 11:34,0:15:11,,Meditation
3/26/2018 15:25,0:30:00,,Meditation
3/25/2018 23:18,0:17:50,,Guided Meditation
3/25/2018 22:18,0:05:00,,Meditation
3/24/2018 22:18,0:10:00,,Meditation
3/23/2018 16:34,0:10:00,,Meditation
3/22/2018 21:42,0:13:10,,Meditation
3/21/2018 22:09,0:05:00,,Meditation
3/20/2018 18:20,0:24:19,,Guided Meditation
3/19/2018 21:49,0:05:00,,Meditation
3/18/2018 19:45,1:00:00,,Meditation
3/17/2018 21:40,0:19:35,,Guided Meditation
3/16/2018 21:59,0:05:00,,Meditation
3/16/2018 9:15,0:14:31,,Meditation
3/15/2018 21:14,0:34:40,,Guided Meditation
3/14/2018 22:04,0:10:00,,Meditation
3/13/2018 21:25,0:20:00,,Meditation
3/12/2018 21:34,0:20:00,,Meditation
3/12/2018 0:07,0:04:25,,Guided Meditation
3/11/2018 19:23,1:00:00,,Meditation
3/10/2018 22:12,0:01:00,,Meditation
3/9/2018 23:21,0:03:17,,Guided Meditation
3/9/2018 21:13,0:10:00,,Meditation
3/8/2018 23:35,0:15:07,,Guided Meditation
3/8/2018 19:09,0:50:00,,Meditation
3/7/2018 21:23,0:19:35,,Guided Meditation
3/6/2018 20:54,0:15:57,,Guided Meditation
3/5/2018 21:33,0:19:48,,Guided Meditation
3/4/2018 22:03,0:10:00,,Meditation
3/3/2018 21:27,0:14:39,,Guided Meditation
3/3/2018 14:00,0:13:14,,Guided Meditation
3/2/2018 21:53,0:10:00,,Meditation
3/2/2018 15:41,0:19:35,,Guided Meditation
3/1/2018 21:29,0:15:00,,Meditation
2/28/2018 22:39,0:10:00,,Meditation
2/27/2018 21:02,0:25:00,,Meditation
2/26/2018 22:21,0:01:00,,Meditation
2/26/2018 0:50,0:22:21,,Guided Meditation
2/25/2018 16:45,0:45:00,,Meditation
2/24/2018 21:41,0:05:00,,Meditation
2/23/2018 21:40,0:08:37,,Guided Meditation
2/22/2018 21:33,0:15:00,,Meditation
2/21/2018 21:40,0:19:35,,Guided Meditation
2/20/2018 21:00,0:15:00,,Meditation
2/19/2018 21:31,0:12:10,,Guided Meditation
2/18/2018 21:34,0:10:00,,Meditation
2/17/2018 21:35,0:19:35,,Guided Meditation
2/16/2018 21:28,0:13:07,,Guided Meditation
2/15/2018 21:54,0:05:00,,Meditation
2/14/2018 21:18,0:21:28,,Guided Meditation
2/13/2018 21:47,0:15:49,,Guided Meditation
2/12/2018 21:17,0:14:07,,Guided Meditation
2/11/2018 23:35,0:17:50,,Guided Meditation
2/11/2018 21:16,0:18:03,,Guided Meditation
2/8/2018 0:05,0:22:21,,Guided Meditation
2/6/2018 20:57,0:15:04,,Guided Meditation
2/4/2018 18:12,1:00:00,,Meditation
2/3/2018 15:52,0:28:57,,Guided Meditation
2/1/2018 21:09,0:21:19,,Guided Meditation
1/31/2018 21:31,0:19:14,,Guided Meditation
1/30/2018 21:54,0:10:00,,Meditation
1/29/2018 21:15,0:19:14,,Guided Meditation
1/29/2018 0:14,0:22:21,,Guided Meditation
1/28/2018 16:52,0:26:05,,Guided Meditation
1/27/2018 16:54,0:25:00,,Meditation
1/26/2018 15:56,0:15:00,,Meditation
1/25/2018 21:43,0:08:02,,Meditation
1/23/2018 21:51,0:45:00,,Meditation
1/21/2018 23:42,0:22:21,,Guided Meditation
1/21/2018 21:23,0:16:30,,Guided Meditation
1/20/2018 11:36,0:35:53,,Guided Meditation
1/18/2018 21:02,0:10:00,,Meditation
1/16/2018 19:20,1:15:00,,Meditation
1/15/2018 21:35,0:05:00,,Meditation
1/14/2018 21:29,0:10:00,,Meditation
1/11/2018 19:40,0:40:00,,Meditation
1/8/2018 9:55,0:20:00,,Meditation
1/7/2018 15:35,0:38:44,,Guided Meditation
1/6/2018 16:56,0:26:26,,Guided Meditation
1/3/2018 21:17,0:10:00,,Meditation
1/1/2018 22:34,0:17:50,,Guided Meditation
1/1/2018 15:01,0:38:55,,Guided Meditation
12/30/2017 11:32,0:39:28,,Guided Meditation
12/29/2017 15:27,0:20:00,,Meditation
12/28/2017 16:22,0:14:25,,Meditation
12/27/2017 22:03,0:20:00,,Meditation
12/26/2017 21:06,0:20:00,,Meditation
12/26/2017 0:11,0:22:21,,Guided Meditation
12/24/2017 6:52,0:17:50,,Guided Meditation
12/22/2017 12:24,0:20:00,,Meditation
12/21/2017 12:32,0:15:00,,Meditation
12/19/2017 21:06,0:10:00,,Meditation
12/18/2017 20:49,0:15:00,,Meditation
12/18/2017 11:20,0:10:00,,Meditation
12/15/2017 14:59,0:15:00,,Meditation
12/14/2017 21:17,0:10:53,,Meditation
12/14/2017 6:21,0:20:00,,Meditation
12/13/2017 21:32,0:00:19,,Guided Meditation
12/13/2017 21:16,0:15:00,,Meditation
12/12/2017 15:50,0:15:00,,Meditation
12/11/2017 13:26,0:09:10,,Meditation
12/10/2017 23:15,0:22:21,,Guided Meditation
12/10/2017 16:37,0:31:32,,Guided Meditation
12/9/2017 9:35,0:25:00,,Meditation
12/8/2017 23:49,1:01:05,,Guided Meditation
12/4/2017 12:12,0:25:00,,Meditation
12/3/2017 10:52,0:38:54,,Guided Meditation
12/2/2017 15:15,0:18:48,,Guided Meditation
11/29/2017 13:21,0:31:33,,Guided Meditation
11/28/2017 20:28,0:15:00,,Meditation
11/27/2017 12:23,0:15:00,,Meditation
11/26/2017 7:58,0:30:00,,Meditation
11/25/2017 10:57,0:30:00,,Meditation
11/24/2017 23:26,0:22:21,,Guided Meditation
11/24/2017 23:24,0:01:31,,Guided Meditation
11/23/2017 7:41,0:25:00,,Meditation
11/21/2017 11:05,0:15:00,,Meditation
11/20/2017 15:20,0:20:00,,Meditation
11/19/2017 10:06,0:26:25,,Meditation
11/18/2017 10:41,0:09:44,,Meditation
11/16/2017 14:33,0:15:00,,Meditation
11/15/2017 16:03,0:20:00,,Meditation
11/14/2017 15:20,0:20:00,,Meditation
11/13/2017 14:22,0:20:00,,Meditation
11/12/2017 20:11,0:15:00,,Meditation
